Pos,2024,Title,Director,Year,Country,Mins
1,1,In the Mood for Love,Wong Kar-wai,2000,Hong Kong,97
2,2,Spirited Away,Miyazaki, Hayao,2001,Japan,125
3,3,There Will Be Blood,Anderson, Paul Thomas,2007,USA,158
4,4,2046,Wong Kar-wai,2004,Hong Kong,129
5,6,Toni Erdmann,Ade, Maren,2016,Germany,162
6,7,Eternal Sunshine of the Spotless Mind,Gondry, Michel,2004,USA,108
7,5,Social Network, The,Fincher, David,2010,USA,120
8,11,Portrait of a Lady on Fire, Sciamma, Céline,2019,France,122
9,12,Zodiac,Fincher, David,2007,USA,158
10,15,Lost in Translation,Coppola, Sofia,2003,USA,102
11,16,Parasite,Bong, Joon-ho,2019,South Korea,132
12,10,Mulholland Dr.,Lynch, David,2001,USA,147
13,8,Tree of Life, The,Malick, Terrence,2011,USA,139
14,14,Wall•E,Stanton, Andrew,2008,USA,98
15,18,Pan's Labyrinth, del Toro, Guillermo,2006,Spain,118
16,17,Spirits' Homecoming, ,2016,South Korea,129
17,27,Get Out, Peele, Jordan,2017,USA,104
18,19,United 93, Greengrass, Paul,2006,USA,111
19,22,Timbuktu, Sissako, Abderrahmane,2014,Mauritania,97
20,24,A Separation, Farhadi, Asghar,2011,Iran,123
